imie,nazwisko,data_urodzenia,plec,pesel,placowka_nazwa,miasto,wojewodztwo,kod_badania,nazwa_badania,kategoria_badania,wynik,jednostka,norma_min,norma_max
Tomasz,Wójcik,1986-10-24,M,87061605531,Centrum Medyczne,Warszawa,Mazowieckie,HGB,Hemoglobina,Morfologia,25.36,g/dL,13.0,17.0
Krzysztof,Lewandowski,1993-10-20,M,84040307167,Centrum Medyczne,Warszawa,Mazowieckie,CHOL,Cholesterol,Lipidogram,245.62,mg/dL,115.0,190.0
Piotr,Lewandowski,1961-06-04,M,84032401357,Centrum Medyczne,Warszawa,Mazowieckie,HGB,Hemoglobina,Morfologia,13.35,g/dL,13.0,17.0
Maria,Kowalczyk,1963-02-21,F,87020807648,Centrum Medyczne,Warszawa,Mazowieckie,CHOL,Cholesterol,Lipidogram,266.46,mg/dL,115.0,190.0
Krzysztof,Szymański,2001-02-22,M,97112802635,Centrum Medyczne,Warszawa,Mazowieckie,CHOL,Cholesterol,Lipidogram,84.75,mg/dL,115.0,190.0
Agnieszka,Kowalczyk,2000-09-20,F,80042308552,Centrum Medyczne,Warszawa,Mazowieckie,GLU,Glukoza,Biochemia,40.56,mg/dL,70.0,99.0
Barbara,Kamińska,1968-04-24,F,89030307334,Centrum Medyczne,Warszawa,Mazowieckie,TSH,TSH,Hormony,2.33,uIU/mL,0.27,4.2
Andrzej,Kowalczyk,1969-11-24,M,89102104371,Centrum Medyczne,Warszawa,Mazowieckie,GLU,Glukoza,Biochemia,80.61,mg/dL,70.0,99.0
Adam,Wójcik,1973-04-22,M,89032507757,Centrum Medyczne,Warszawa,Mazowieckie,GLU,Glukoza,Biochemia,135.32,mg/dL,70.0,99.0
Paweł,Kowalczyk,1973-01-06,M,86021503807,Centrum Medyczne,Warszawa,Mazowieckie,GLU,Glukoza,Biochemia,43.92,mg/dL,70.0,99.0
Jan,Lewandowski,2001-04-12,M,80100302181,Centrum Medyczne,Warszawa,Mazowieckie,WBC,Leukocyty,Morfologia,4.42,10^9/L,4.0,10.0
Joanna,Kowalczyk,2002-09-05,F,88102405336,Centrum Medyczne,Warszawa,Mazowieckie,WBC,Leukocyty,Morfologia,2.16,10^9/L,4.0,10.0
Tomasz,Wiśniewski,1962-05-25,M,81011305771,Centrum Medyczne,Warszawa,Mazowieckie,HGB,Hemoglobina,Morfologia,24.06,g/dL,13.0,17.0
Magdalena,Kowalska,2001-05-22,F,98051008948,Centrum Medyczne,Warszawa,Mazowieckie,WBC,Leukocyty,Morfologia,13.58,10^9/L,4.0,10.0
Anna,Lewandowska,1970-01-12,F,90012002172,Centrum Medyczne,Warszawa,Mazowieckie,GLU,Glukoza,Biochemia,142.25,mg/dL,70.0,99.0
Elżbieta,Kamińska,1961-06-11,F,92090904322,Centrum Medyczne,Warszawa,Mazowieckie,TSH,TSH,Hormony,5.37,uIU/mL,0.27,4.2
Michał,Kowalczyk,1995-01-01,M,86091707155,Centrum Medyczne,Warszawa,Mazowieckie,WBC,Leukocyty,Morfologia,5.24,10^9/L,4.0,10.0
Agnieszka,Woźniak,1962-03-05,F,90071403486,Centrum Medyczne,Warszawa,Mazowieckie,WBC,Leukocyty,Morfologia,11.11,10^9/L,4.0,10.0
Barbara,Zielińska,1990-12-20,F,81091008568,Centrum Medyczne,Warszawa,Mazowieckie,HGB,Hemoglobina,Morfologia,7.27,g/dL,13.0,17.0
Katarzyna,Woźniak,1991-04-29,F,83020608758,Centrum Medyczne,Warszawa,Mazowieckie,HGB,Hemoglobina,Morfologia,18.99,g/dL,13.0,17.0
Barbara,Wiśniewska,2003-10-09,F,83070806020,Centrum Medyczne,Warszawa,Mazowieckie,GLU,Glukoza,Biochemia,36.4,mg/dL,70.0,99.0
Paweł,Szymański,1985-10-11,M,85071602329,Centrum Medyczne,Warszawa,Mazowieckie,TSH,TSH,Hormony,1.29,uIU/mL,0.27,4.2
Tomasz,Kamiński,1993-07-07,M,87112505831,Centrum Medyczne,Warszawa,Mazowieckie,CHOL,Cholesterol,Lipidogram,68.66,mg/dL,115.0,190.0
Jakub,Kowalczyk,1978-07-03,M,83101003717,Centrum Medyczne,Warszawa,Mazowieckie,TSH,TSH,Hormony,2.3,uIU/mL,0.27,4.2
Katarzyna,Zielińska,1976-08-13,F,92072108418,Centrum Medyczne,Warszawa,Mazowieckie,CHOL,Cholesterol,Lipidogram,216.62,mg/dL,115.0,190.0
Maria,Szymańska,1976-11-27,F,81102101186,Centrum Medyczne,Warszawa,Mazowieckie,TSH,TSH,Hormony,3.36,uIU/mL,0.27,4.2
Małgorzata,Wiśniewska,1962-10-25,F,88020904878,Centrum Medyczne,Warszawa,Mazowieckie,TSH,TSH,Hormony,5.7,uIU/mL,0.27,4.2
Joanna,Wójcik,2001-09-09,F,90052602678,Centrum Medyczne,Warszawa,Mazowieckie,TSH,TSH,Hormony,3.68,uIU/mL,0.27,4.2
Tomasz,Kowalczyk,1976-09-10,M,83092001533,Centrum Medyczne,Warszawa,Mazowieckie,WBC,Leukocyty,Morfologia,2.54,10^9/L,4.0,10.0
Michał,Zieliński,1967-04-04,M,86012309431,Centrum Medyczne,Warszawa,Mazowieckie,HGB,Hemoglobina,Morfologia,23.74,g/dL,13.0,17.0
Adam,Nowak,1964-03-09,M,88080901287,Centrum Medyczne,Warszawa,Mazowieckie,CHOL,Cholesterol,Lipidogram,95.04,mg/dL,115.0,190.0
Jakub,Lewandowski,1987-11-17,M,98121607227,Centrum Medyczne,Warszawa,Mazowieckie,CHOL,Cholesterol,Lipidogram,61.03,mg/dL,115.0,190.0
Katarzyna,Nowak,1997-04-17,F,97040302008,Centrum Medyczne,Warszawa,Mazowieckie,WBC,Leukocyty,Morfologia,9.04,10^9/L,4.0,10.0
Ewa,Kamińska,1976-04-08,F,89091608454,Centrum Medyczne,Warszawa,Mazowieckie,TSH,TSH,Hormony,3.63,uIU/mL,0.27,4.2
Jakub,Szymański,1967-07-30,M,93010106491,Centrum Medyczne,Warszawa,Mazowieckie,CHOL,Cholesterol,Lipidogram,280.94,mg/dL,115.0,190.0
Magdalena,Kowalska,1972-06-13,F,95042201178,Centrum Medyczne,Warszawa,Mazowieckie,GLU,Glukoza,Biochemia,41.23,mg/dL,70.0,99.0
Joanna,Lewandowska,2005-08-28,F,83102305748,Centrum Medyczne,Warszawa,Mazowieckie,HGB,Hemoglobina,Morfologia,19.23,g/dL,13.0,17.0
Elżbieta,Zielińska,1992-04-12,F,91030202804,Centrum Medyczne,Warszawa,Mazowieckie,WBC,Leukocyty,Morfologia,14.76,10^9/L,4.0,10.0
Krzysztof,Zieliński,1986-10-23,M,88092504997,Centrum Medyczne,Warszawa,Mazowieckie,HGB,Hemoglobina,Morfologia,16.07,g/dL,13.0,17.0
Barbara,Nowak,1992-03-14,F,95040507406,Centrum Medyczne,Warszawa,Mazowieckie,GLU,Glukoza,Biochemia,65.17,mg/dL,70.0,99.0
Magdalena,Lewandowska,1962-08-25,F,80122004246,Centrum Medyczne,Warszawa,Mazowieckie,TSH,TSH,Hormony,5.43,uIU/mL,0.27,4.2
Ewa,Kowalczyk,1988-07-06,F,89061604670,Centrum Medyczne,Warszawa,Mazowieckie,HGB,Hemoglobina,Morfologia,24.4,g/dL,13.0,17.0
Elżbieta,Zielińska,1973-08-03,F,82091804498,Centrum Medyczne,Warszawa,Mazowieckie,CHOL,Cholesterol,Lipidogram,190.78,mg/dL,115.0,190.0
Magdalena,Nowak,1960-03-07,F,89122808334,Centrum Medyczne,Warszawa,Mazowieckie,TSH,TSH,Hormony,1.71,uIU/mL,0.27,4.2
Tomasz,Lewandowski,1962-05-22,M,85020803677,Centrum Medyczne,Warszawa,Mazowieckie,CHOL,Cholesterol,Lipidogram,207.88,mg/dL,115.0,190.0
Jakub,Szymański,1969-05-15,M,96112809207,Centrum Medyczne,Warszawa,Mazowieckie,CHOL,Cholesterol,Lipidogram,166.81,mg/dL,115.0,190.0
Jan,Kamiński,1999-02-08,M,97102308473,Centrum Medyczne,Warszawa,Mazowieckie,HGB,Hemoglobina,Morfologia,24.34,g/dL,13.0,17.0
Agnieszka,Szymańska,1985-05-21,F,95042603040,Centrum Medyczne,Warszawa,Mazowieckie,TSH,TSH,Hormony,0.69,uIU/mL,0.27,4.2
Jakub,Woźniak,1989-08-19,M,93012506075,Centrum Medyczne,Warszawa,Mazowieckie,CHOL,Cholesterol,Lipidogram,237.62,mg/dL,115.0,190.0
Adam,Kowalczyk,1966-09-19,M,81011907021,Centrum Medyczne,Warszawa,Mazowieckie,HGB,Hemoglobina,Morfologia,17.26,g/dL,13.0,17.0
Piotr,Kowalski,1974-10-17,M,84021706449,Centrum Medyczne,Warszawa,Mazowieckie,WBC,Leukocyty,Morfologia,11.75,10^9/L,4.0,10.0
Adam,Szymański,1997-05-18,M,89072005097,Centrum Medyczne,Warszawa,Mazowieckie,GLU,Glukoza,Biochemia,69.19,mg/dL,70.0,99.0
Magdalena,Lewandowska,1962-10-19,F,96020209580,Centrum Medyczne,Warszawa,Mazowieckie,HGB,Hemoglobina,Morfologia,20.14,g/dL,13.0,17.0
Elżbieta,Woźniak,1971-08-23,F,80072803334,Centrum Medyczne,Warszawa,Mazowieckie,CHOL,Cholesterol,Lipidogram,121.92,mg/dL,115.0,190.0
Ewa,Szymańska,1968-12-23,F,93091603050,Centrum Medyczne,Warszawa,Mazowieckie,GLU,Glukoza,Biochemia,106.2,mg/dL,70.0,99.0
Paweł,Szymański,2004-12-29,M,82080609079,Centrum Medyczne,Warszawa,Mazowieckie,TSH,TSH,Hormony,5.54,uIU/mL,0.27,4.2
Barbara,Kowalczyk,1991-11-18,F,93091705198,Centrum Medyczne,Warszawa,Mazowieckie,HGB,Hemoglobina,Morfologia,7.19,g/dL,13.0,17.0
Piotr,Nowak,1987-01-27,M,80021206741,Centrum Medyczne,Warszawa,Mazowieckie,HGB,Hemoglobina,Morfologia,20.32,g/dL,13.0,17.0
Elżbieta,Woźniak,1992-03-18,F,94020501220,Centrum Medyczne,Warszawa,Mazowieckie,GLU,Glukoza,Biochemia,144.69,mg/dL,70.0,99.0
Michał,Kowalczyk,2003-01-15,M,80070509687,Centrum Medyczne,Warszawa,Mazowieckie,TSH,TSH,Hormony,6.3,uIU/mL,0.27,4.2
Tomasz,Kowalski,2005-09-19,M,93121802037,Centrum Medyczne,Warszawa,Mazowieckie,WBC,Leukocyty,Morfologia,14.57,10^9/L,4.0,10.0
Piotr,Woźniak,1985-07-27,M,93012804855,Centrum Medyczne,Warszawa,Mazowieckie,GLU,Glukoza,Biochemia,74.14,mg/dL,70.0,99.0
Barbara,Lewandowska,1980-07-09,F,94090802146,Centrum Medyczne,Warszawa,Mazowieckie,GLU,Glukoza,Biochemia,139.61,mg/dL,70.0,99.0
Katarzyna,Zielińska,1968-10-09,F,96080903996,Centrum Medyczne,Warszawa,Mazowieckie,CHOL,Cholesterol,Lipidogram,268.65,mg/dL,115.0,190.0
Ewa,Nowak,1975-06-23,F,86060703772,Centrum Medyczne,Warszawa,Mazowieckie,WBC,Leukocyty,Morfologia,7.06,10^9/L,4.0,10.0
Jan,Zieliński,2005-12-19,M,89112509921,Centrum Medyczne,Warszawa,Mazowieckie,TSH,TSH,Hormony,2.66,uIU/mL,0.27,4.2
Magdalena,Kamińska,1971-02-24,F,81061905144,Centrum Medyczne,Warszawa,Mazowieckie,CHOL,Cholesterol,Lipidogram,157.49,mg/dL,115.0,190.0
Maria,Wójcik,1981-07-12,F,99122502434,Centrum Medyczne,Warszawa,Mazowieckie,HGB,Hemoglobina,Morfologia,17.35,g/dL,13.0,17.0
Magdalena,Kowalczyk,1962-10-16,F,92052707868,Centrum Medyczne,Warszawa,Mazowieckie,HGB,Hemoglobina,Morfologia,21.33,g/dL,13.0,17.0
Marcin,Kowalczyk,1973-05-09,M,97071003257,Centrum Medyczne,Warszawa,Mazowieckie,CHOL,Cholesterol,Lipidogram,191.53,mg/dL,115.0,190.0
Ewa,Kowalczyk,1991-06-14,F,88060207324,Centrum Medyczne,Warszawa,Mazowieckie,TSH,TSH,Hormony,2.74,uIU/mL,0.27,4.2
Krzysztof,Kowalczyk,1988-07-23,M,86111603895,Centrum Medyczne,Warszawa,Mazowieckie,HGB,Hemoglobina,Morfologia,17.21,g/dL,13.0,17.0
Magdalena,Kowalska,2002-11-13,F,91112108070,Centrum Medyczne,Warszawa,Mazowieckie,GLU,Glukoza,Biochemia,118.21,mg/dL,70.0,99.0
Katarzyna,Kamińska,1972-06-12,F,85092507702,Centrum Medyczne,Warszawa,Mazowieckie,HGB,Hemoglobina,Morfologia,10.59,g/dL,13.0,17.0
Anna,Lewandowska,1960-01-13,F,94012806182,Centrum Medyczne,Warszawa,Mazowieckie,HGB,Hemoglobina,Morfologia,17.23,g/dL,13.0,17.0
Ewa,Woźniak,1976-03-12,F,97110209310,Centrum Medyczne,Warszawa,Mazowieckie,GLU,Glukoza,Biochemia,133.02,mg/dL,70.0,99.0
Jakub,Kowalczyk,1965-02-17,M,85061803861,Centrum Medyczne,Warszawa,Mazowieckie,TSH,TSH,Hormony,1.77,uIU/mL,0.27,4.2
Barbara,Zielińska,2005-08-23,F,82112501990,Centrum Medyczne,Warszawa,Mazowieckie,CHOL,Cholesterol,Lipidogram,243.4,mg/dL,115.0,190.0
Marcin,Nowak,1970-03-29,M,89042501077,Centrum Medyczne,Warszawa,Mazowieckie,WBC,Leukocyty,Morfologia,13.63,10^9/L,4.0,10.0
Maria,Kowalczyk,2003-01-24,F,95080205478,Centrum Medyczne,Warszawa,Mazowieckie,GLU,Glukoza,Biochemia,82.01,mg/dL,70.0,99.0
Michał,Szymański,1990-01-17,M,87091002225,Centrum Medyczne,Warszawa,Mazowieckie,HGB,Hemoglobina,Morfologia,22.13,g/dL,13.0,17.0
Małgorzata,Kamińska,1998-03-18,F,86041404210,Centrum Medyczne,Warszawa,Mazowieckie,HGB,Hemoglobina,Morfologia,17.58,g/dL,13.0,17.0
Magdalena,Wójcik,1984-07-13,F,83112408154,Centrum Medyczne,Warszawa,Mazowieckie,GLU,Glukoza,Biochemia,75.46,mg/dL,70.0,99.0
Michał,Zieliński,1981-03-05,M,90050609565,Centrum Medyczne,Warszawa,Mazowieckie,GLU,Glukoza,Biochemia,71.55,mg/dL,70.0,99.0
Elżbieta,Szymańska,1964-07-29,F,85091309536,Centrum Medyczne,Warszawa,Mazowieckie,GLU,Glukoza,Biochemia,103.51,mg/dL,70.0,99.0
Jan,Woźniak,1960-07-23,M,97110206767,Centrum Medyczne,Warszawa,Mazowieckie,GLU,Glukoza,Biochemia,88.23,mg/dL,70.0,99.0
Paweł,Kamiński,1981-07-23,M,80010404011,Centrum Medyczne,Warszawa,Mazowieckie,TSH,TSH,Hormony,0.22,uIU/mL,0.27,4.2
